Perturbation,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
484,485,FCRL2,1.6227091550827026,1.6227091550827026,0.0,False
485,486,FADD,1.617247223854065,1.617247223854065,0.0,False
486,487,ANXA5,1.6165459156036377,1.6165459156036377,0.0,False
487,488,GADD45G,1.6114249229431152,1.6114249229431152,0.0,False
488,489,KCNB1,1.6111931800842285,1.6111931800842285,0.0,False
489,490,RALGDS,1.6101374626159668,1.6101374626159668,0.0,False
490,491,GPX3,1.6098592281341553,1.6098592281341553,0.0,False
491,492,ABCC9,1.6073992252349854,1.6073992252349854,0.0,False
492,493,TRAT1,1.6027448177337646,1.6027448177337646,0.0,False
493,494,CASP8,1.602695107460022,1.602695107460022,0.0,False
494,495,RNASEH2C,1.6024490594863892,1.6024490594863892,0.0,False
495,496,WNT7B,1.6012647151947021,1.6012647151947021,0.0,False
496,497,TIMM17B,1.6003464460372925,1.6003464460372925,0.0,False
497,498,PRL,1.5999419689178467,1.5999419689178467,0.0,False
498,499,IL6ST,1.5998175144195557,1.5998175144195557,0.0,False
499,500,TFAP2C,1.5942814350128174,1.5942814350128174,0.0,True
500,501,PROKR1,1.5941438674926758,1.5941438674926758,0.0,False
501,502,IL6R,1.5938782691955566,1.5938782691955566,0.0,False
502,503,IL15RA,1.5936166048049927,1.5936166048049927,0.0,False
503,504,FCGRT,1.5922749042510986,1.5922749042510986,0.0,False
504,505,PTPN11,1.5921134948730469,1.8466589450836182,0.12727272510528564,False
505,506,CD3D,1.5891995429992676,1.5891995429992676,0.0,False
506,507,GSTA2,1.5847866535186768,1.5847866535186768,0.0,False
507,508,COP1,1.5846779346466064,1.5846779346466064,0.0,False
508,509,NCF4,1.5819646120071411,1.5819646120071411,0.0,False
509,510,SCGB3A1,1.580992341041565,1.580992341041565,0.0,False
510,511,HINFP,1.577932357788086,1.577932357788086,0.0,True
511,512,FCRL3,1.574461817741394,1.574461817741394,0.0,False
512,513,STAT1,1.5685645639896393,1.7867463827133179,0.1090909093618393,True
513,514,CARD11,1.5668045282363892,1.5668045282363892,0.0,False
514,515,STAT4,1.566515326499939,1.566515326499939,0.0,True
515,516,SMAD2,1.565848708152771,1.565848708152771,0.0,False
516,517,EGR1,1.5630402397364378,1.5812220573425293,0.00909090880304575,True
517,518,TRAF2,1.5595505237579346,1.5595505237579346,0.0,False
518,519,NCF1,1.5588171482086182,1.5588171482086182,0.0,False
519,520,SMAD7,1.558605670928955,1.558605670928955,0.0,False
520,521,ZYX,1.5564872026443481,1.5564872026443481,0.0,False
521,522,TP53AIP1,1.5545010566711426,1.5545010566711426,0.0,False
522,523,IGF2BP2,1.5538346767425537,1.5538346767425537,0.0,False
523,524,MAPK13,1.5533232688903809,1.5533232688903809,0.0,False
524,525,STAT5A,1.5509317517280579,2.2600226402282715,0.3545454442501068,True
525,526,PHF14,1.5497362613677979,1.5497362613677979,0.0,False
526,527,MCF2,1.544088363647461,1.544088363647461,0.0,False
527,528,ZNF195,1.544088363647461,1.544088363647461,0.0,True
528,529,TRIM15,1.544088363647461,1.544088363647461,0.0,False
529,530,TSPAN7,1.5387659072875977,1.5387659072875977,0.0,False
530,531,COL13A1,1.5387656688690186,1.5387656688690186,0.0,False
531,532,KLRB1,1.5290225744247437,1.5290225744247437,0.0,False
532,533,KCNIP4,1.5275135040283203,1.5275135040283203,0.0,False
533,534,ENTPD7,1.527360439300537,1.527360439300537,0.0,False
534,535,ITGB5,1.524336576461792,1.524336576461792,0.0,False
535,536,APP,1.5239346027374268,1.5239346027374268,0.0,False
536,537,JDP2,1.5213518142700195,1.5213518142700195,0.0,True
537,538,FOXC1,1.5200766324996948,1.5200766324996948,0.0,True
538,539,MAP3K5,1.5191490650177002,1.5191490650177002,0.0,False
539,540,GSTM4,1.5180140733718872,1.5180140733718872,0.0,False
540,541,CEBPE,1.5170578956604004,1.5170578956604004,0.0,True
541,542,EPHB3,1.5168592929840088,1.5168592929840088,0.0,False
542,543,NCAM1,1.5126891136169434,1.8945072889328003,0.19090908765792847,False
543,544,NOS1AP,1.512313723564148,1.512313723564148,0.0,False
544,545,SPI1,1.5108903646469116,2.583617687225342,0.5363636612892151,True
545,546,TGM3,1.5108381509780884,1.5108381509780884,0.0,False
546,547,KLRD1,1.5038706585764885,1.5765979290008545,0.036363635212183,False
547,548,SCNN1G,1.5011265277862549,1.5011265277862549,0.0,False
548,549,CD7,1.5009756088256836,1.5009756088256836,0.0,False
549,550,SLC6A8,1.4991346597671509,1.4991346597671509,0.0,False
550,551,CPZ,1.4968914985656738,1.4968914985656738,0.0,False
551,552,GSTM2,1.496880054473877,1.496880054473877,0.0,False
552,553,GSTM3,1.4966235160827637,1.4966235160827637,0.0,False
553,554,PCOLCE2,1.492609977722168,1.492609977722168,0.0,False
554,555,NKX3-2,1.491512417793274,1.491512417793274,0.0,True
555,556,MIDEAS,1.4895206689834595,1.4895206689834595,0.0,False
556,557,CD3G,1.4886071681976318,1.4886071681976318,0.0,False
557,558,MAPK14,1.4880317449569702,1.4880317449569702,0.0,False
558,559,FYN,1.486547827720642,1.486547827720642,0.0,False
559,560,ZC3H12D,1.4856301546096802,1.4856301546096802,0.0,False
560,561,SERPINF2,1.481952428817749,1.481952428817749,0.0,False
561,562,FAM107B,1.4808189868927002,1.4808189868927002,0.0,False
562,563,GNG3,1.477416753768921,1.477416753768921,0.0,False
563,564,CD34,1.4754124879837036,1.4754124879837036,0.0,False
564,565,TMEM173,1.4739323854446411,1.4739323854446411,0.0,False
565,566,ALOX5AP,1.4699485301971436,1.4699485301971436,0.0,False
566,567,CD70,1.4663618803024292,1.4663618803024292,0.0,False
567,568,FOXC2,1.4652504920959473,1.4652504920959473,0.0,True
568,569,GSTM1,1.4586645364761353,1.4586645364761353,0.0,False
569,570,CLEC4G,1.4574172496795654,1.4574172496795654,0.0,False
570,571,RUNX2,1.4556634426116943,1.4556634426116943,0.0,True
571,572,IL24,1.4537243843078613,1.4537243843078613,0.0,False
572,573,KIRREL2,1.4535396099090576,1.4535396099090576,0.0,False
573,574,KRT35,1.4503324031829834,1.4503324031829834,0.0,False
574,575,CYBA,1.4486290216445923,1.4486290216445923,0.0,False
575,576,LY75,1.4456946849822998,1.4456946849822998,0.0,False
576,577,MGST2,1.4381542205810547,1.4381542205810547,0.0,False
