Perturbation,tf_rank,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
504,505,4231,MYF6,-1.8767194747924805,-1.8767194747924805,0.0,True
505,506,4240,CLOCK,-1.8780035972595215,-1.8780035972595215,0.0,True
506,507,4270,TFCP2L1,-1.8810282945632935,-1.8810282945632935,0.0,True
507,508,4276,BAZ2B,-1.8816068172454834,-1.8816068172454834,0.0,True
508,509,4285,ZNF613,-1.8824199438095093,-1.8824199438095093,0.0,True
509,510,4286,ZNF804B,-1.8824199438095093,-1.8824199438095093,0.0,True
510,511,4294,ZSCAN32,-1.8831703662872314,-1.8831703662872314,0.0,True
511,512,4295,MBD6,-1.8832495212554932,-1.8832495212554932,0.0,True
512,513,4302,ZNF69,-1.8841344118118286,-1.8841344118118286,0.0,True
513,514,4304,EHF,-1.8844056129455566,-1.8844056129455566,0.0,True
514,515,4310,SETDB2,-1.8848525285720825,-1.8848525285720825,0.0,True
515,516,4313,EMX1,-1.8850029706954956,-1.8850029706954956,0.0,True
516,517,4339,ZBTB1,-1.8880720138549805,-1.8880720138549805,0.0,True
517,518,4343,MYF5,-1.8882732391357422,-1.8882732391357422,0.0,True
518,519,4355,BPTF,-1.8902606964111328,-1.8902606964111328,0.0,True
519,520,4357,PRDM14,-1.890557050704956,-1.890557050704956,0.0,True
520,521,4359,TEAD1,-1.8908262252807617,-1.8908262252807617,0.0,True
521,522,4360,ZNF667,-1.8909528255462646,-1.8909528255462646,0.0,True
522,523,4371,ZNF215,-1.8917443752288818,-1.8917443752288818,0.0,True
523,524,4379,FBXL19,-1.892670750617981,-1.892670750617981,0.0,True
524,525,4385,ASCL4,-1.8930565118789673,-1.8930565118789673,0.0,True
525,526,4403,SPDEF,-1.8948954343795776,-1.8948954343795776,0.0,True
526,527,4415,ZNF397,-1.8962281942367554,-1.8962281942367554,0.0,True
527,528,4426,NFE2,-1.8971871137619019,-1.8971871137619019,0.0,True
528,529,4432,POU6F1,-1.897876262664795,-1.897876262664795,0.0,True
529,530,4444,ZBED6,-1.8990437984466553,-1.8990437984466553,0.0,True
530,531,4446,ZNF587B,-1.899101734161377,-1.899101734161377,0.0,True
531,532,4454,ZNF300,-1.899643063545227,-1.899643063545227,0.0,True
532,533,4467,GLYR1,-1.9015655517578125,-1.9015655517578125,0.0,True
533,534,4469,BBX,-1.9016655683517456,-1.9016655683517456,0.0,True
534,535,4473,GLIS2,-1.9025641679763794,-1.9025641679763794,0.0,True
535,536,4479,ZNF610,-1.9027254581451416,-1.9027254581451416,0.0,True
536,537,4502,GTF2IRD2B,-1.9027254581451416,-1.9027254581451416,0.0,True
